# index, _pos
0,"array([ 0.16568577, -1.39271879])"
1,"array([ 0.42507002, -1.32656691])"
2,"array([ 0.44811727, -1.51400284])"
3,"array([ 0.51715075, -1.50978856])"
4,"array([ 0.48258615, -1.56795179])"
5,"array([ 0.20155348, -1.57308423])"
6,"array([ 0.06413653, -1.55078105])"
7,"array([ 0.16798764, -1.66796345])"
8,"array([ 0.3109516 , -1.30887487])"
9,"array([ 0.37333494, -1.39388561])"
10,"array([ 0.0401441 , -1.49078921])"
11,"array([ 0.22259013, -1.40690117])"
12,"array([ 0.30539834, -1.4655541 ])"
13,"array([ 0.41455343, -1.56098484])"
14,"array([ 0.42161611, -1.62740036])"
15,"array([ 0.28538783, -1.41154718])"
16,"array([ 0.32804953, -1.4235818 ])"
17,"array([ 0.17435302, -1.46251165])"
18,"array([ 0.28104442, -1.52416587])"
19,"array([ 0.24784501, -1.62995813])"
20,"array([ 0.32524592, -1.63286462])"
21,"array([ 0.37034836, -1.59300378])"
22,"array([ 0.27545513, -1.58643071])"
23,"array([ 0.48863056, -1.43858571])"
24,"array([ 0.43727701, -1.39078755])"
25,"array([ 0.34314841, -1.48700197])"
26,"array([ 0.18640118, -1.3187432 ])"
27,"array([ 0.07417086, -1.43714224])"
28,"array([ 0.35954366, -1.3451939 ])"
29,"array([ 0.39661014, -1.49581042])"
30,"array([ 0.33926136, -1.53548735])"
31,"array([ 0.43190773, -1.45578961])"
32,"array([ 0.54259484, -1.61554686])"
33,"array([ 0.19027707, -1.52408502])"
34,"array([ 0.085739 , -1.6429889])"
35,"array([ 0.23355177, -1.48115136])"
36,"array([ 0.14552397, -1.5894093 ])"
37,"array([ 0.2903892 , -1.70583499])"
38,"array([ 0.26055816, -1.35214314])"
39,"array([ 0.38195611, -1.67281977])"
